number,name,type_1,type_2,abilities,hp,att,def,spa,spd,spe,bst,mean,standard_deviation,generation,experience_type,experience_to_level_100,final_evolution,catch_rate,legendary,mega_evolution,alolan_form,galarian_form,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,height,weight,bmi,bmi_clipped,atk_def_ratio,offensive_power,defensive_power
8,wartortle,water,none,"['rain dish', 'torrent']",59,63,80,65,80,58,405,67.5,9.142392101268316,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,22.5,22.5,22.5,0.7875,128,160
9,blastoise,water,none,"['rain dish', 'torrent']",79,83,100,85,105,78,530,88.33333333333333,10.386957633921922,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,85.5,33.4,33.4,0.83,168,205
9,mega_blastoise,water,none,['mega launcher'],79,103,120,135,115,78,630,105.0,20.952326839756964,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,101.1,39.5,39.5,0.8583333333333333,238,235
10,caterpie,bug,none,"['run away', 'shield dust']",45,30,35,20,20,45,195,32.5,10.307764064044152,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3,2.9,32.2,32.2,0.8571428571428571,50,55
11,metapod,bug,none,['shed skin'],50,20,55,25,25,30,205,34.166666666666664,13.359349618234496,1.0,Medium Fast,1000000,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,9.9,20.2,20.2,0.36363636363636365,45,80
12,butterfree,bug,flying,['tinted lens'],60,45,50,90,80,70,395,65.83333333333333,15.920810978785664,1.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.1,32.0,26.4,26.4,0.9,135,130
13,weedle,bug,poison,"['run away', 'shield dust']",40,35,30,20,20,50,195,32.5,10.70436048222094,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.3,3.2,35.6,35.6,1.1666666666666667,55,50
14,kakuna,bug,poison,['shed skin'],45,25,50,25,25,35,205,34.166666666666664,10.172129679778084,1.0,Medium Fast,1000000,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.6,10.0,27.8,27.8,0.5,50,75
15,beedrill,bug,poison,"['sniper', 'swarm']",65,90,40,45,80,75,395,65.83333333333333,18.12380264244296,1.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,29.5,29.5,29.5,2.25,135,120
15,mega_beedrill,bug,poison,['adaptability'],65,150,40,15,80,145,495,82.5,50.22864388639879,6.0,Medium Fast,1000000,1.0,45,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.4,40.5,20.7,20.7,3.75,165,120
16,pidgey,normal,flying,"['big pecks', 'keen eye', 'tangled feet']",40,45,40,35,35,56,251,41.833333333333336,7.197607627229727,1.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,1.8,20.0,20.0,1.125,80,75
17,pidgeotto,normal,flying,"['big pecks', 'keen eye', 'tangled feet']",63,60,55,50,50,71,349,58.16666666666666,7.470311610338324,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.1,30.0,24.8,24.8,1.0909090909090908,110,105
18,pidgeot,normal,flying,"['big pecks', 'keen eye', 'tangled feet']",83,80,75,70,70,101,479,79.83333333333333,10.605292179955356,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.5,39.5,17.6,17.6,1.0666666666666667,150,145
18,mega_pidgeot,normal,flying,['no guard'],83,80,80,135,80,121,579,96.5,22.66237704507921,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,2.2,50.5,10.4,10.4,1.0,215,160
19,rattata,normal,none,"['guts', 'hustle', 'run away']",30,56,35,25,35,72,253,42.16666666666666,16.46629554237652,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3,3.5,38.9,38.9,1.6,81,70
19,alolan_rattata,dark,normal,"['gluttony', 'hustle', 'thick fat']",30,56,35,25,35,72,253,42.16666666666666,16.46629554237652,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.3,3.8,42.2,42.2,1.6,81,70
20,raticate,normal,none,"['guts', 'hustle', 'run away']",55,81,60,50,70,97,413,68.83333333333333,16.15979235290135,1.0,Medium Fast,1000000,1.0,127,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,18.5,37.8,37.8,1.35,131,130
20,alolan_raticate,dark,normal,"['gluttony', 'hustle', 'thick fat']",75,71,70,40,80,77,413,68.83333333333333,13.334374959313074,7.0,Medium Fast,1000000,1.0,127,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.7,25.5,52.0,52.0,1.0142857142857142,111,150
21,spearow,normal,flying,"['keen eye', 'sniper']",40,60,30,31,31,70,262,43.66666666666666,15.712698332523566,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,22.2,22.2,2.0,91,61
22,fearow,normal,flying,"['keen eye', 'sniper']",65,90,65,61,61,100,442,73.66666666666667,15.445243784270794,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.2,38.0,26.4,26.4,1.3846153846153846,151,126
23,ekans,poison,none,"['intimidate', 'shed skin', 'unnerve']",35,60,44,40,54,55,288,48.0,8.925618559330589,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,6.9,1.7,1.7,1.3636363636363635,100,98
24,arbok,poison,none,"['intimidate', 'shed skin', 'unnerve']",60,95,69,65,79,80,448,74.66666666666667,11.55662388223981,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.5,65.0,5.3,5.3,1.3768115942028984,160,148
25,pikachu,electric,none,"['lightning rod', 'static']",35,55,40,50,50,90,320,53.333333333333336,17.716909687891082,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4,6.0,37.5,37.5,1.375,105,90
26,raichu,electric,none,"['lightning rod', 'static']",60,90,55,90,80,110,485,80.83333333333333,18.800856954464127,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,30.0,46.9,46.9,1.6363636363636365,180,135
26,alolan_raichu,electric,psychic,['surge surfer'],60,85,50,95,85,110,485,80.83333333333333,20.292992769809867,7.0,Medium Fast,1000000,1.0,75,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0.7,21.0,42.9,42.9,1.7,180,135
27,sandshrew,ground,none,"['sand rush', 'sand veil']",50,75,85,20,30,40,300,50.0,23.27373340628157,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6,12.0,33.3,33.3,0.8823529411764706,95,115
27,alolan_sandshrew,ice,steel,"['slush rush', 'snow cloak']",50,75,90,10,35,40,300,50.0,26.29955639676584,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.7,40.0,81.6,81.6,0.8333333333333334,85,125
28,sandslash,ground,none,"['sand rush', 'sand veil']",75,100,110,45,55,65,450,75.0,23.27373340628157,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5,29.5,0.9090909090909091,145,165
28,alolan_sandslash,ice,steel,"['slush rush', 'snow cloak']",75,100,120,25,65,65,450,75.0,29.8607881119482,7.0,Medium Fast,1000000,1.0,90,0.0,0.0,1.0,0.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.2,55.0,38.2,38.2,0.8333333333333334,125,185
29,nidoran♀,poison,none,"['hustle', 'poison point', 'rivalry']",55,47,52,40,40,41,275,45.833333333333336,5.983774357005413,1.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.4,7.0,43.8,43.8,0.9038461538461539,87,92
30,nidorina,poison,none,"['hustle', 'poison point', 'rivalry']",70,62,67,55,55,56,365,60.833333333333336,5.983774357005413,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.8,20.0,31.3,31.3,0.9253731343283582,117,122
31,nidoqueen,poison,ground,"['poison point', 'rivalry', 'sheer force']",90,92,87,75,85,76,505,84.16666666666667,6.517071598672383,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.3,60.0,35.5,35.5,1.0574712643678161,167,172
32,nidoran♂,poison,none,"['hustle', 'poison point', 'rivalry']",46,57,40,40,40,50,273,45.5,6.370504951205464,1.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,9.0,36.0,36.0,1.425,97,80
33,nidorino,poison,none,"['hustle', 'poison point', 'rivalry']",61,72,57,55,55,65,365,60.833333333333336,6.121455890735652,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.9,19.5,24.1,24.1,1.263157894736842,127,112
34,nidoking,poison,ground,"['poison point', 'rivalry', 'sheer force']",81,102,77,85,75,85,505,84.16666666666667,8.801830617673929,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.4,62.0,31.6,31.6,1.3246753246753247,187,152
35,clefairy,fairy,none,"['cute charm', 'friend guard', 'magic guard']",70,45,48,60,65,35,323,53.833333333333336,12.184917817622823,1.0,Fast,800000,0.0,150,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.6,7.5,20.8,20.8,0.9375,105,113
36,clefable,fairy,none,"['cute charm', 'magic guard', 'unaware']",95,70,73,95,90,60,483,80.5,13.524668819112232,1.0,Fast,800000,1.0,25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1.3,40.0,23.7,23.7,0.958904109589041,165,163
37,vulpix,fire,none,"['drought', 'flash fire']",38,41,40,50,65,65,299,49.833333333333336,11.363929289153855,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.6,9.9,27.5,27.5,1.025,91,105
37,alolan_vulpix,ice,none,"['snow cloak', 'snow warning']",38,41,40,50,65,65,299,49.833333333333336,11.363929289153855,7.0,Medium Fast,1000000,0.0,190,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.6,9.9,27.5,27.5,1.025,91,105
38,ninetales,fire,none,"['drought', 'flash fire']",73,76,75,81,100,100,505,84.16666666666667,11.451588924201255,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.1,19.9,16.4,16.4,1.0133333333333334,157,175
38,alolan_ninetales,ice,fairy,"['snow cloak', 'snow warning']",73,67,75,81,100,109,505,84.16666666666667,15.170329228098147,7.0,Medium Fast,1000000,1.0,75,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0,1.1,19.9,16.4,16.4,0.8933333333333333,148,175
39,jigglypuff,normal,fairy,"['competitive', 'cute charm', 'friend guard']",115,45,20,45,25,20,270,45.0,33.040379335998345,1.0,Fast,800000,0.0,170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.5,5.5,22.0,22.0,2.25,90,45
40,wigglytuff,normal,fairy,"['competitive', 'cute charm', 'frisk']",140,70,45,85,50,45,435,72.5,33.509948771471834,1.0,Fast,800000,1.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,1.0,12.0,12.0,12.0,1.5555555555555556,155,95
41,zubat,poison,flying,"['infiltrator', 'inner focus']",40,45,35,30,40,55,245,40.833333333333336,7.861650943380503,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.8,7.5,11.7,11.7,1.2857142857142858,75,75
42,golbat,poison,flying,"['infiltrator', 'inner focus']",75,80,70,65,75,90,455,75.83333333333333,7.861650943380503,1.0,Medium Fast,1000000,0.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1.6,55.0,21.5,21.5,1.1428571428571428,145,145
43,oddish,grass,poison,"['chlorophyll', 'run away']",45,50,55,75,65,30,320,53.333333333333336,14.337208778404378,1.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,5.4,21.6,21.6,0.9090909090909091,125,120
44,gloom,grass,poison,"['chlorophyll', 'stench']",60,65,70,85,75,40,395,65.83333333333333,13.969212178533509,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8,8.6,13.4,13.4,0.9285714285714286,150,145
45,vileplume,grass,poison,"['chlorophyll', 'effect spore']",75,80,85,110,90,50,490,81.66666666666667,17.950549357115012,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.2,18.6,12.9,12.9,0.9411764705882353,190,175
46,paras,bug,grass,"['damp', 'dry skin', 'effect spore']",35,70,55,45,55,25,285,47.5,14.648663192705788,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3,5.4,60.0,60.0,1.2727272727272727,115,110
47,parasect,bug,grass,"['damp', 'dry skin', 'effect spore']",60,95,80,60,80,30,405,67.5,20.766559657295183,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5,29.5,1.1875,155,160
48,venonat,bug,poison,"['run away', 'tinted lens']",60,55,50,40,55,45,305,50.833333333333336,6.718548123582125,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,30.0,30.0,30.0,1.1,95,105
49,venomoth,bug,poison,"['shield dust', 'tinted lens', 'wonder skin']",70,65,60,90,75,90,450,75.0,11.547005383792516,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.5,12.5,5.6,5.6,1.0833333333333333,155,135
50,diglett,ground,none,"['arena trap', 'sand force', 'sand veil']",10,55,25,35,45,95,265,44.16666666666666,26.83540364684103,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.8,20.0,20.0,2.2,90,70
50,alolan_diglett,ground,steel,"['sand force', 'sand veil', 'tangling hair']",10,55,30,35,45,90,265,44.16666666666666,24.73470346609305,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.2,1.0,25.0,25.0,1.8333333333333333,90,75
51,dugtrio,ground,none,"['arena trap', 'sand force', 'sand veil']",35,100,50,50,70,120,425,70.83333333333333,30.05781466145239,1.0,Medium Fast,1000000,1.0,50,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.7,33.3,68.0,68.0,2.0,150,120
51,alolan_dugtrio,ground,steel,"['sand force', 'sand veil', 'tangling hair']",35,100,60,50,70,110,425,70.83333333333333,26.523050771399248,7.0,Medium Fast,1000000,1.0,50,0.0,0.0,1.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.7,66.6,135.9,100.0,1.6666666666666667,150,130
52,meowth,normal,none,"['pickup', 'technician', 'unnerve']",40,45,35,40,40,90,290,48.333333333333336,18.856180831641268,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,4.2,26.3,26.3,1.2857142857142858,85,75
52,alolan_meowth,dark,none,"['pickup', 'rattled', 'technician']",40,35,35,50,40,90,290,48.333333333333336,19.29306150465037,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.4,4.2,26.3,26.3,1.0,85,75
52,galarian_meowth,steel,none,"['pickup', 'tough claws', 'unnerve']",50,65,55,40,40,40,290,48.333333333333336,9.428090415820632,8.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,1.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.4,7.5,46.9,46.9,1.1818181818181819,105,95
